index,x,y,z,roll,pitch,yaw
320,-14.1,-1.79236,-12.3331,0.335797, 0.626018, -0.611429, -0.348563
321,-14.1656,-1.83645,-12.4214,0.335869, 0.626028, -0.611405, -0.348518
322,-14.2313,-1.88068,-12.5099,0.335935, 0.626031, -0.61139, -0.348475
323,-14.2973,-1.92504,-12.5988,0.335999, 0.626049, -0.611364, -0.348427
324,-14.3634,-1.96954,-12.6879,0.336058, 0.62607, -0.611339, -0.348377
325,-14.4298,-2.01417,-12.7773,0.336122, 0.626085, -0.611314, -0.348331
326,-14.4963,-2.05895,-12.8669,0.336177, 0.626104, -0.611286, -0.348294
327,-14.5631,-2.10386,-12.9569,0.336235, 0.626114, -0.611262, -0.348261
328,-14.63,-2.1489,-13.0471,0.33628, 0.626123, -0.611245, -0.348231
329,-14.6972,-2.19409,-13.1376,0.33631, 0.626144, -0.611221, -0.348207
330,-14.7646,-2.23941,-13.2284,0.336358, 0.626158, -0.611197, -0.348176
331,-14.8322,-2.28487,-13.3195,0.336397, 0.626166, -0.611175, -0.348165
